0.03	725.394112682	72275.038	72065.952	5265.932556533174	4648.122994295226	50

0.005	70482.4	70534.7
0.005	69774	69714
0.005	70434.4	70423.2
0.005	70198.4	70297.1
0.005	70420.6	70425.1
0.005	69919.5	70051.9
0.005	70180.3	70215.2
0.005	70648.5	70602.2
0.005	69963.5	69831.8
0.005	70146.6	70148.3
0.005	70933.5	70838.2
0.005	70371.4	70412.1
0.005	71246.8	71186.8
0.005	70498.1	70566.9
0.005	70973.4	70696.5
0.005	70519.5	70677.5
0.005	70683.1	70701
0.005	70566.3	70481.7
0.005	70128.7	70195.8
0.005	70667.1	70683.9
0.005	70387	70463.7
0.005	70512.2	70450.2
0.005	70039.1	70135.5
0.005	70359.2	70476.5
0.005	70259.5	70407.5
0.005	70395.2	70246.3
0.005	71480.6	71251.7
0.005	70540	70478.7
0.005	70051.9	70087.9
0.005	70401.7	70419.2
0.005	70490.4	70390.4
0.005	70079.5	70017.2
0.005	71097.2	70887.4
0.005	70356.3	70307.6
0.005	70814.4	70664.1
0.005	70853	70786.8
0.005	71317.6	71217
0.005	70866.8	70946.1
0.005	70661.3	70653.3
0.005	71044.8	70914.3
0.005	70031.7	69823.3
0.005	70193.1	70273.3
0.005	69783.2	69845.8
0.005	71006.4	71097.9
0.005	70849.8	70810.2
0.005	70120.8	70084.6
0.005	69776.7	69746.6
0.005	70110.3	70049.5
0.005	70171	70188.3
0.005	70596.3	70591
